,Company Name,NSE,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-09,Sep-20,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Dec-19,Jun-20,Nov-08,Nov-09,Mar-08,Sep-13,Sep-08,Sep-09,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Sep-10,Sep-11,Sep-12,Mar-04,Jun-16,Jun-17,Jun-18,Jun-19,Oct-09,Oct-10,Oct-11,Oct-12,Oct-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Dec-06
0,3M India,3MINDIA,477,610,751,921,1063,1088,1128,1429,1932,2135,2494,2653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aarti Ind,AARTIIND,,1160,1322,1568,2073,2565,2819,2836,3341,4182,5628,6089,1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AAVAS Financier,AAVAS,,,,,,,,1711,2451,4040,5627,7658,,8467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB Capital,ABCAPITAL,,506,643,695,975,1529,2192,3146,5155,8084,8907,9626,4,9670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ABB India,ABB,5444,,,,,,,,,,,,,,5556,5771,6295,6470,7050,6822,7409,7731,8888,9077,7701,7354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Abbott India,ABBOTINDIA,,,,,,1139,1374,1616,2066,2416,2941,3547,,,,453,797,907,,,,,,,,,351,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ACC,ACC,8511,,,,,,,,,,,,,,10046,11101,11989,11926,12094,12671,12841,13440,14889,16025,17082,17365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Adani Enterpris,ADANIENT,,7463,11614,14172,20303,22557,22641,14404,14658,15411,14673,13886,6698,12274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Adani Ports,ADANIPORTS,,8039,8509,13177,18255,20904,25807,31129,39248,40834,47424,51813,6495,60633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Adani Power,ADANIPOWER,,16818,25629,36108,37975,38779,37726,45543,41757,19702,28928,22530,7826,23144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Adani Trans,ADANITRANS,,,,,,0,3711,7621,10779,12247,12811,12934,,11624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Aditya Birla F,ABFRL,,1,2,4,2882,2153,2142,4582,5036,5734,6621,9689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Advanced Enzyme,ADVENZYMES,,104,150,192,233,228,223,261,318,373,376,423,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aegis Logistics,AEGISCHEM,,323,390,457,544,600,596,606,1136,1258,1255,1726,283,1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AFL,ARVINDFASN,,,,,,,,0,1173,1517,1837,2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AGL,ADANIGAS,,,,,,,,1434,1660,2812,2058,2486,,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AIA Engineering,AIAENG,,1097,976,1142,1430,1691,2023,2425,2839,3206,3609,3994,969,4342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ajanta Pharma,AJANTPHARM,,459,473,617,675,880,1086,1414,1749,2292,2522,3049,446,3487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Akzo Nobel,AKZOINDIA,,1373,1540,2208,2305,2039,1799,2043,1884,2231,2097,2325,1332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Alembic Pharma,APLLTD,,,816,991,999,1162,1511,2182,2509,3678,4549,5879,,6437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Alkem Lab,ALKEM,,1559,2571,3166,4011,4202,4861,4822,5898,6814,7292,9104,1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Alkyl Amines,ALKYLAMINE,,234,249,273,332,388,402,406,512,637,749,783,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Allcargo,ALLCARGO,794,,,1967,1998,1930,1845,1729,1919,1830,2124,2875,,,1015,1449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Alok Industries,ALOKINDS,,12177,14267,18237,,,29352,32692,32362,18579,17900,17802,9160,,,,,,,,,,,,,,,,7888,25503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Amara Raja Batt,AMARAJABAT,,976,1116,1352,1770,1984,2386,2951,3585,4169,4496,5001,894,5463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Amber Enterpris,AMBER,,,,407,688,794,937,1046,1175,1496,2084,2521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Ambuja Cements,AMBUJACEM,7816,,,,,,,,,,,,,,8864,10320,11542,12313,12965,13901,14162,23353,24627,25187,26991,27888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,APL Apollo,APLAPOLLO,,338,457,556,733,826,858,1068,1838,2143,2577,2574,341,2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Apollo Hospital,APOLLOHOSP,,2830,3155,3493,4354,4857,5820,6838,7193,7812,8428,10144,2233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Apollo Tyres,APOLLOTYRE,,3926,5249,5766,5866,6112,6121,7520,9876,13143,13649,16482,2763,17709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Ashok Leyland,ASHOKLEY,,9294,10593,11916,13097,12808,13311,12774,14040,17336,18224,16390,7836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Ashoka Buildcon,ASHOKA,,1130,1555,1906,2076,2210,2666,3070,3450,3927,5309,5312,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Asian Paints,ASIANPAINT,,3134,3855,4796,5646,6720,7274,8725,10358,11588,13683,13588,2175,14795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Aster DM Health,ASTERDM,,,,,499,768,1105,3021,3224,3293,3376,3552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Astral Poly Tec,ASTRAL,,261,326,475,539,684,1052,1224,1317,1431,1785,1942,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AstraZeneca,ASTRAZEN,288,,309,345,306,416,412,403,415,461,562,706,,720,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Atul,ATUL,,1122,1246,1440,1527,1776,1762,2381,2620,2919,3346,3849,1061,4261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AU Small Financ,AUBANK,,245,593,1157,3113,2959,3980,6273,9781,18833,32623,42143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Aurobindo Pharm,AUROPHARMA,,4594,5841,5991,6825,8576,10226,12566,13023,15794,18141,19535,4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Avanti Feeds,AVANTIFEED,,116,143,183,242,392,472,606,862,1268,1277,1453,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Avenue Supermar,DMART,,679,1000,1187,1490,1791,2348,3082,5802,5612,6998,12084,493,12446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Axis Bank,AXISBANK,,180648,242713,285628,340561,383245,461932,539821,601468,691330,800997,915165,147722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Bajaj Auto,BAJAJ-AUTO,,7126,9248,11084,12479,14748,15562,16486,20815,23819,27380,24773,5881,27608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Bajaj Consumer,BAJAJCON,,55,458,494,556,582,570,567,592,617,622,835,75,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Bajaj Electric,BAJAJELEC,,1339,1766,1952,2157,2685,2822,2960,3087,3473,5160,4559,1032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Bajaj Finance,BAJFINANCE,,4593,8522,12929,17806,24618,32780,46973,63730,81615,108500,138004,3016,135694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Bajaj Finserv,BAJAJFINSV,,1566,1453,1505,2481,2537,2640,2747,2814,2927,3193,3600,1595,3649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Bajaj Holdings,BAJAJHLDNG,,4279,5088,5294,5609,5972,6457,6970,7402,10289,11046,10926,5480,12349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Balkrishna Ind,BALKRISIND,,1572,2098,3116,3989,4874,5315,5382,5756,5845,6430,6731,1272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Balmer Lawrie,BALMLAWRIE,,935,1064,1162,1273,1438,1450,1593,1794,1852,1883,1883,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Balrampur Chini,BALRAMCHIN,,,3812,4209,4226,4157,3903,3697,3995,3661,4657,4749,,3385,,,,,,,,,,,,,,,,,2767,2609,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Bandhan Bank,BANDHANBNK,,,,,,,,,30236,44310,56442,91718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Bank of Baroda,BANKBARODA,,278317,358397,447321,547135,659505,714989,671376,694875,720000,780987,1157916,226672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Bank of India,BANKINDIA,,274951,351161,384527,452523,573064,618568,609914,626309,609575,625220,656994,225502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Bank of Mah,MAHABANK,,71056,76442,91137,116953,136320,146019,160957,159324,156329,164536,168867,59030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,BASF,BASF,,1271,1794,2194,2806,4034,4168,3777,3875,3846,3849,4589,649,4620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Bata India,BATAINDIA,584,,,,,,1637,1730,1923,2145,2479,3735,,,616,811,924,1130,1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Bayer CropScien,BAYERCROP,,1070,1560,1841,2415,2387,2773,2437,2825,2535,3549,3836,937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,BEML,BEML,,4400,4245,4944,5215,4819,4635,4413,4746,4733,5074,5161,4150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Berger Paints,BERGEPAINT,,977,1219,1510,1839,2161,2310,2512,3087,3505,4034,4343,749,4725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Bharat Dynamics,BDL,,,,,,,8412,9641,8407,6657,5523,5750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Bharat Elec,BEL,,9409,13162,14858,14449,14531,15202,18125,17157,18856,20463,23911,8599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bharat Forge,BHARATFORG,,4447,4464,5328,5113,5698,6376,7179,7677,8366,9939,9717,4149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Bharti Airtel,BHARTIARTL,,54723,71583,80324,87883,98204,126424,185028,191638,204937,222908,300373,49110,280036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Bharti Infratel,INFRATEL,,17400,18218,17985,21894,22348,22222,21182,21463,20204,18084,20477,17820,18498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,BHEL,BHEL,,48544,59260,66834,70183,72878,68604,65419,61580,64184,64987,61814,41473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Biocon,BIOCON,,2264,2604,2820,3013,3218,3333,7098,7469,7727,8240,8311,1876,8454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Birla Corp,BIRLACORPN,,3010,3603,4071,4525,4879,4991,5228,6417,7665,7800,7856,2038,7846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Birlasoft,BSOFT,,589,804,929,1331,1655,1710,1691,1920,2101,1664,1673,531,1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Bliss GVS,BLISSGVS,,159,213,270,456,486,555,585,666,694,736,855,127,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Blue Dart,BLUEDART,509,,,,1040,931,974,1154,1252,1226,1370,1561,,1647,576,692,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Blue Star,BLUESTARCO,,1626,2259,2051,2100,2251,2193,2533,2620,3199,3240,3314,1275,2966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Bombay Burmah,BBTC,,417,492,472,501,513,674,650,706,699,726,792,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Bombay Dyeing,BOMDYEING,,2312,2676,3588,3785,3764,3993,4393,3638,4147,5178,4810,2429,5166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Bosch,BOSCHLTD,4553,,,,,,10431,12433,11800,13927,12710,13320,,,4990,6238,7131,7902,8891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,BPCL,BPCL,,53272,55876,65607,66972,72127,69745,75357,91990,100131,115627,126469,47370,126503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brigade Ent,BRIGADE,,1988,2382,2628,2752,2953,3563,4829,4721,5756,7460,7666,1744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Britannia,BRITANNIA,,1328,1482,1672,1683,1844,2462,3100,3696,4627,5653,7253,1273,6892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Cadila Health,CADILAHC,,2871,3462,4754,5552,6243,7337,8923,11047,12164,13671,16552,2577,17496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Can Fin Homes,CANFINHOME,,2192,2269,2716,4067,5912,8334,10756,13379,15730,18729,21044,1951,20899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Canara Bank,CANBK,,264741,335945,374160,412343,491922,548001,552961,583519,616886,694767,723875,219646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Caplin Labs,CAPLIPOINT,,,,,,,,263,317,411,539,691,,793,,,,,,,,,,,,,,,,,,,61,61,71,104,128,174,223,,,,,,,,,,,,,,,,,,,,
82,Capri Global,CGCL,,277,779,825,892,970,1133,1304,1965,2789,3532,3604,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Carborundum,CARBORUNIV,,879,943,1000,1019,1047,1146,1270,1297,1436,1526,1573,886,1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,CARE Ratings,CARERATING,,244,332,428,505,578,445,499,586,656,606,603,158,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Castrol,CASTROLIND,947,,,,,,,,,,,,,,1176,1337,1393,1480,1615,1492,1662,1888,1977,2107,2229,2149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,CCL Products,CCL,,403,420,455,515,546,596,635,705,982,1213,1348,403,1348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Ceat,CEATLTD,,2093,2799,3023,3062,3372,3636,3893,4543,4769,6062,6958,1657,7367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Central Bank,CENTRALBK,,182672,209757,229800,268130,289496,311940,305466,333402,326225,330718,356436,147655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Century,CENTURYTEX,,5758,6388,7292,8262,9292,10076,10193,10336,10331,6179,6543,4553,6463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,CenturyPlyboard,CENTURYPLY,,533,629,782,838,917,1050,1142,1555,1659,1767,1629,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Cera Sanitary,CERA,,191,239,295,380,453,644,747,861,949,1089,1126,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,CESC,CESC,,11093,11732,12727,14899,16329,18918,27341,28447,26030,26089,26952,10165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,CG Consumer,CROMPTON,,,,,,,1,1653,2113,2425,2670,2744,,3104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Chalet Hotels,CHALET,,,,,,,,3367,3563,3691,3595,3906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Chambal Fert,CHAMBLFERT,,4653,4811,6320,8441,7776,7274,7952,8047,9436,13846,14567,5271,14241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Chennai Petro,CHENNPETRO,,9933,12257,14967,14121,13966,10983,10358,11496,14198,13955,12669,7282,15396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,Cholamandalam,CHOLAFIN,,6941,9678,13430,18185,21547,23873,27888,30595,44090,57426,63993,6937,70548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Cholamandalam,CHOLAHLDNG,,2048,2377,2648,3138,3375,3563,4178,971,1023,1068,1322,1578,1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Cipla,CIPLA,,7313,8448,8993,11493,12924,15192,15239,15607,17095,18419,20406,6665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,City Union Bank,CUB,,11554,14584,18333,22977,24994,27871,31804,35271,39937,45259,49734,9249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Coal India,COALINDIA,,23970,27678,30714,34038,23489,22151,21380,18886,18465,19058,22417,22256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Cochin Shipyard,COCHINSHIP,,2427,2557,2609,2401,2987,2891,3349,3321,5482,5248,6409,2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,COFORGE LTD.,COFORGE,,611,737,850,1016,1221,1455,1537,1614,1785,1986,2346,606,2100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Colgate,COLPAL,,883,1034,1130,1307,1493,1702,2003,2311,2564,2626,2604,772,2893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Container Corp,CONCOR,,5183,5757,6498,7251,8050,8691,9430,9941,10706,12607,11567,4578,11795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Coromandel Int,COROMANDEL,,4391,5224,7306,7347,7062,8309,9046,8563,9873,10647,10218,4682,9578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,CreditAccess Gr,CREDITACC,,,,,543,1058,1727,2808,3564,5114,7357,10662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,CRISIL,CRISIL,487,,,,,,,,,,,,,,580,534,603,678,900,1032,993,1089,1116,1131,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Cummins,CUMMINSIND,,2351,2866,3102,3670,3773,4322,4490,5041,5531,5854,5954,2188,5929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Cyient,CYIENT,,968,1023,1197,1384,1622,1841,1922,2163,2401,2580,2673,899,2828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Dabur India,DABUR,,1743,2408,2452,2798,3122,3688,4430,5217,5813,5579,6100,1551,6943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Dalmia Bharat,DALBHARAT,,,,,,,,,7825,7746,7682,7713,,7320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,DB Corp,DBCORP,,1281,1379,1573,1673,1766,1902,1953,2089,2460,2399,2491,1101,2352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,DCB Bank,DCBBANK,,6137,7413,8677,11279,12923,16132,19119,24046,30222,35792,38505,5943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,DCM Shriram,DCMSHRIRAM,,3498,3801,4528,4588,4768,4346,4999,5540,5646,7130,8143,3892,7516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Deepak Fert,DEEPAKFERT,,1955,2240,2617,2961,3159,3464,4445,3335,3637,3017,2954,1747,3225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Deepak Nitrite,DEEPAKNTR,,422,417,703,890,1061,1126,1261,1559,1802,1835,2054,358,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Delta Corp,DELTACORP,,474,672,717,713,1004,1006,997,1058,1901,2002,1975,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Dhanuka Agritec,DHANUKA,,296,358,396,420,517,594,657,715,823,835,932,239,1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Dilip Buildcon,DBL,,219,525,1338,1991,2785,4555,5284,6649,8721,10907,11177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,Dish TV,DISHTV,,2874,2687,2634,3155,2773,3157,1741,2013,11309,10825,9476,2095,9461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Dishman Carboge,DCAL,,,,,,,12,12,5537,5807,5816,5735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Divis Labs,DIVISLAB,,1886,2308,2803,3196,3784,4475,4965,6210,6808,8040,8514,1574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Dixon Technolog,DIXON,,227,249,261,259,268,283,328,498,668,1103,1421,,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
