,Company Name,NSE,Market Cap,Current Price,High / Low,Stock P/E,Book Value,Dividend Yield,ROCE,ROE,Face Value
0,3M India,3MINDIA,"Rs. 22,781 Cr.","Rs. 20,214","Rs. 25,209 / 15,686",242,"Rs. 1,842",0.00%,16.20%,11.10%,Rs. 10.0
1,Aarti Ind,AARTIIND,"Rs. 18,764 Cr.","Rs. 1,077","Rs. 1,229 / 662",40.1,Rs. 167,0.32%,15.30%,18.90%,Rs. 5.00
2,AAVAS Financier,AAVAS,"Rs. 11,237 Cr.","Rs. 1,434","Rs. 2,101 / 846",46,Rs. 283,0.00%,10.20%,12.70%,Rs. 10.0
3,AB Capital,ABCAPITAL,"Rs. 16,781 Cr.",Rs. 69.5,Rs. 115 / 37.4,234,Rs. 39.3,0.00%,1.47%,0.70%,Rs. 10.0
4,ABB India,ABB,"Rs. 18,948 Cr.",Rs. 894,"Rs. 1,412 / 722",97.9,Rs. 169,0.54%,14.20%,9.19%,Rs. 2.00
5,Abbott India,ABBOTINDIA,"Rs. 33,522 Cr.","Rs. 15,775","Rs. 18,680 / 11,350",51.1,"Rs. 1,144",0.68%,35.20%,26.70%,Rs. 10.0
6,ACC,ACC,"Rs. 31,913 Cr.","Rs. 1,699","Rs. 1,703 / 895",26.2,Rs. 631,0.82%,19.00%,12.20%,Rs. 10.0
7,Adani Enterpris,ADANIENT,"Rs. 38,796 Cr.",Rs. 353,Rs. 360 / 116,154,Rs. 35.3,0.28%,15.90%,13.30%,Rs. 1.00
8,Adani Ports,ADANIPORTS,"Rs. 74,901 Cr.",Rs. 369,Rs. 405 / 203,38.6,Rs. 103,0.87%,11.30%,9.40%,Rs. 2.00
9,Adani Power,ADANIPOWER,"Rs. 14,039 Cr.",Rs. 36.4,Rs. 72.1 / 23.0,,Rs. 40.7,0.00%,4.99%,-4.14%,Rs. 10.0
10,Adani Trans,ADANITRANS,"Rs. 32,917 Cr.",Rs. 299,Rs. 366 / 148,"2,594",Rs. 37.4,0.00%,7.60%,-4.38%,Rs. 10.0
11,Aditya Birla F,ABFRL,"Rs. 12,862 Cr.",Rs. 155,Rs. 281 / 95.6,,Rs. 15.3,0.00%,9.55%,-9.19%,Rs. 10.0
12,Advanced Enzyme,ADVENZYMES,"Rs. 3,353 Cr.",Rs. 300,Rs. 385 / 91.0,55.9,Rs. 33.2,0.20%,21.50%,16.80%,Rs. 2.00
13,Aegis Logistics,AEGISCHEM,"Rs. 7,133 Cr.",Rs. 207,Rs. 267 / 107,108,Rs. 30.2,0.82%,2.30%,2.73%,Rs. 1.00
14,AFL,ARVINDFASN,"Rs. 1,231 Cr.",Rs. 125,Rs. 338 / 110,,Rs. 137,0.00%,3.30%,1.09%,Rs. 4.00
15,AGL,ADANIGAS,"Rs. 25,895 Cr.",Rs. 235,Rs. 237 / 76.6,60.8,Rs. 15.1,0.11%,34.30%,33.30%,Rs. 1.00
16,AIA Engineering,AIAENG,"Rs. 16,507 Cr.","Rs. 1,750","Rs. 1,990 / 1,102",20.8,Rs. 411,1.54%,26.50%,23.70%,Rs. 2.00
17,Ajanta Pharma,AJANTPHARM,"Rs. 14,063 Cr.","Rs. 1,611","Rs. 1,760 / 942",26.1,Rs. 321,0.81%,27.20%,19.30%,Rs. 2.00
18,Akzo Nobel,AKZOINDIA,"Rs. 8,802 Cr.","Rs. 1,933","Rs. 2,515 / 1,730",53.8,Rs. 272,0.72%,27.20%,20.00%,Rs. 10.0
19,Alembic Pharma,APLLTD,"Rs. 19,548 Cr.",Rs. 994,"Rs. 1,129 / 435",16,Rs. 241,0.70%,27.30%,32.20%,Rs. 2.00
20,Alkem Lab,ALKEM,"Rs. 32,888 Cr.","Rs. 2,751","Rs. 3,090 / 1,881",22.2,Rs. 525,0.91%,20.30%,21.50%,Rs. 2.00
21,Alkyl Amines,ALKYLAMINE,"Rs. 6,450 Cr.","Rs. 3,160","Rs. 3,600 / 945",31.1,Rs. 263,0.63%,41.10%,42.00%,Rs. 5.00
22,Allcargo,ALLCARGO,"Rs. 2,929 Cr.",Rs. 119,Rs. 140 / 48.6,16.2,Rs. 59.9,2.52%,8.09%,8.13%,Rs. 2.00
23,Alok Industries,ALOKINDS,"Rs. 11,346 Cr.",Rs. 22.8,Rs. 61.4 / 1.73,,Rs. -21.5,0.00%,-5.13%,%,Rs. 1.00
24,Amara Raja Batt,AMARAJABAT,"Rs. 13,685 Cr.",Rs. 801,Rs. 814 / 349,24.2,Rs. 230,1.37%,23.50%,18.60%,Rs. 1.00
25,Amber Enterpris,AMBER,"Rs. 7,638 Cr.","Rs. 2,267","Rs. 2,545 / 921",151,Rs. 321,0.14%,12.50%,11.40%,Rs. 10.0
26,Ambuja Cements,AMBUJACEM,"Rs. 50,783 Cr.",Rs. 256,Rs. 266 / 137,29,Rs. 115,6.65%,9.37%,7.06%,Rs. 2.00
27,APL Apollo,APLAPOLLO,"Rs. 8,077 Cr.","Rs. 3,239","Rs. 3,274 / 1,025",72.5,Rs. 533,0.00%,11.00%,10.10%,Rs. 10.0
28,Apollo Hospital,APOLLOHOSP,"Rs. 29,531 Cr.","Rs. 2,123","Rs. 2,333 / 1,047",248,Rs. 287,0.28%,13.30%,9.11%,Rs. 5.00
29,Apollo Tyres,APOLLOTYRE,"Rs. 8,455 Cr.",Rs. 148,Rs. 182 / 73.4,19.9,Rs. 146,2.03%,7.21%,6.63%,Rs. 1.00
30,Ashok Leyland,ASHOKLEY,"Rs. 25,055 Cr.",Rs. 85.4,Rs. 87.5 / 33.7,,Rs. 24.8,0.59%,6.20%,4.22%,Rs. 1.00
31,Ashoka Buildcon,ASHOKA,"Rs. 1,742 Cr.",Rs. 62.0,Rs. 122 / 37.0,4.45,Rs. 92.6,0.00%,20.40%,16.00%,Rs. 5.00
32,Asian Paints,ASIANPAINT,"Rs. 214,697 Cr.","Rs. 2,238","Rs. 2,246 / 1,431",94.2,Rs. 108,0.54%,35.90%,29.20%,Rs. 1.00
33,Aster DM Health,ASTERDM,"Rs. 6,688 Cr.",Rs. 134,Rs. 182 / 78.0,134,Rs. 51.2,0.00%,3.52%,2.40%,Rs. 10.0
34,Astral Poly Tec,ASTRAL,"Rs. 17,303 Cr.","Rs. 1,148","Rs. 1,315 / 746",93.5,Rs. 88.4,0.09%,21.20%,16.80%,Rs. 1.00
35,AstraZeneca,ASTRAZEN,"Rs. 10,736 Cr.","Rs. 4,294","Rs. 4,970 / 1,885",132,Rs. 162,0.05%,33.90%,21.70%,Rs. 2.00
36,Atul,ATUL,"Rs. 18,078 Cr.","Rs. 6,095","Rs. 7,021 / 2,923",30.7,"Rs. 1,165",0.25%,27.60%,22.00%,Rs. 10.0
37,AU Small Financ,AUBANK,"Rs. 23,231 Cr.",Rs. 758,"Rs. 1,218 / 366",27.8,Rs. 141,0.00%,9.17%,18.60%,Rs. 10.0
38,Aurobindo Pharm,AUROPHARMA,"Rs. 46,362 Cr.",Rs. 791,Rs. 968 / 281,20.5,Rs. 222,0.38%,16.10%,15.40%,Rs. 1.00
39,Avanti Feeds,AVANTIFEED,"Rs. 6,664 Cr.",Rs. 489,Rs. 770 / 250,22.8,Rs. 88.0,1.04%,32.60%,24.70%,Rs. 1.00
40,Avenue Supermar,DMART,"Rs. 147,819 Cr.","Rs. 2,282","Rs. 2,560 / 1,700",157,Rs. 176,0.00%,20.70%,16.00%,Rs. 10.0
41,Axis Bank,AXISBANK,"Rs. 165,036 Cr.",Rs. 539,Rs. 766 / 285,52.2,Rs. 278,0.00%,5.16%,2.15%,Rs. 2.00
42,Bajaj Auto,BAJAJ-AUTO,"Rs. 85,343 Cr.","Rs. 2,949","Rs. 3,315 / 1,789",20.1,Rs. 758,4.07%,31.30%,24.40%,Rs. 10.0
43,Bajaj Consumer,BAJAJCON,"Rs. 2,747 Cr.",Rs. 186,Rs. 259 / 117,14.8,Rs. 51.4,1.07%,38.70%,32.60%,Rs. 1.00
44,Bajaj Electric,BAJAJELEC,"Rs. 5,749 Cr.",Rs. 505,Rs. 545 / 260,203,Rs. 121,0.00%,7.47%,-0.01%,Rs. 2.00
45,Bajaj Finance,BAJFINANCE,"Rs. 225,181 Cr.","Rs. 3,737","Rs. 4,923 / 1,783",54.6,Rs. 557,0.27%,12.20%,19.00%,Rs. 2.00
46,Bajaj Finserv,BAJAJFINSV,"Rs. 96,360 Cr.","Rs. 6,055","Rs. 10,297 / 3,985",298,Rs. 226,0.08%,20.40%,20.00%,Rs. 5.00
47,Bajaj Holdings,BAJAJHLDNG,"Rs. 26,365 Cr.","Rs. 2,369","Rs. 3,950 / 1,460",21.1,"Rs. 1,085",1.69%,19.00%,16.80%,Rs. 10.0
48,Balkrishna Ind,BALKRISIND,"Rs. 27,301 Cr.","Rs. 1,412","Rs. 1,515 / 678",30.6,Rs. 260,1.42%,18.70%,18.50%,Rs. 2.00
49,Balmer Lawrie,BALMLAWRIE,"Rs. 1,726 Cr.",Rs. 101,Rs. 139 / 69.0,12.1,Rs. 77.2,7.43%,18.00%,13.50%,Rs. 10.0
50,Balrampur Chini,BALRAMCHIN,"Rs. 3,149 Cr.",Rs. 150,Rs. 195 / 68.8,6.12,Rs. 112,1.67%,15.80%,22.40%,Rs. 1.00
51,Bandhan Bank,BANDHANBNK,"Rs. 51,693 Cr.",Rs. 321,Rs. 597 / 152,19,Rs. 94.4,0.00%,12.00%,22.90%,Rs. 10.0
52,Bank of Baroda,BANKBARODA,"Rs. 21,139 Cr.",Rs. 45.8,Rs. 108 / 36.0,,Rs. 156,0.00%,5.02%,0.92%,Rs. 2.00
53,Bank of India,BANKINDIA,"Rs. 13,059 Cr.",Rs. 39.8,Rs. 79.8 / 30.4,,Rs. 134,0.00%,3.60%,-7.03%,Rs. 10.0
54,Bank of Mah,MAHABANK,"Rs. 7,315 Cr.",Rs. 11.2,Rs. 15.4 / 7.71,17.2,Rs. 16.4,0.00%,4.33%,4.71%,Rs. 10.0
55,BASF,BASF,"Rs. 6,429 Cr.","Rs. 1,485","Rs. 1,875 / 795",82.5,Rs. 405,0.20%,5.10%,3.30%,Rs. 10.0
56,Bata India,BATAINDIA,"Rs. 17,156 Cr.","Rs. 1,335","Rs. 1,897 / 1,000",137,Rs. 148,0.30%,25.20%,18.10%,Rs. 5.00
57,Bayer CropScien,BAYERCROP,"Rs. 24,926 Cr.","Rs. 5,546","Rs. 6,601 / 2,925",36.9,Rs. 572,1.62%,30.00%,23.80%,Rs. 10.0
58,BEML,BEML,"Rs. 2,568 Cr.",Rs. 617,"Rs. 1,080 / 370",79.1,Rs. 542,0.97%,2.48%,3.07%,Rs. 10.0
59,Berger Paints,BERGEPAINT,"Rs. 62,862 Cr.",Rs. 647,Rs. 651 / 389,104,Rs. 29.2,0.34%,31.50%,27.60%,Rs. 1.00
60,Bharat Dynamics,BDL,"Rs. 5,437 Cr.",Rs. 297,Rs. 482 / 145,13.9,Rs. 142,2.97%,30.60%,21.90%,Rs. 10.0
61,Bharat Elec,BEL,"Rs. 22,636 Cr.",Rs. 92.9,Rs. 118 / 56.0,13.8,Rs. 40.4,3.01%,26.30%,19.00%,Rs. 1.00
62,Bharat Forge,BHARATFORG,"Rs. 22,029 Cr.",Rs. 473,Rs. 534 / 208,66.3,Rs. 115,0.74%,9.20%,9.52%,Rs. 2.00
63,Bharti Airtel,BHARTIARTL,"Rs. 249,483 Cr.",Rs. 457,Rs. 612 / 350,,Rs. 152,0.44%,0.99%,5.46%,Rs. 5.00
64,Bharti Infratel,INFRATEL,"Rs. 32,951 Cr.",Rs. 178,Rs. 296 / 120,15.8,Rs. 75.4,5.89%,14.20%,10.20%,Rs. 10.0
65,BHEL,BHEL,"Rs. 9,889 Cr.",Rs. 28.4,Rs. 57.8 / 18.4,,Rs. 83.8,0.00%,-0.20%,-4.91%,Rs. 2.00
66,Biocon,BIOCON,"Rs. 49,596 Cr.",Rs. 413,Rs. 478 / 236,145,Rs. 64.7,0.00%,5.30%,4.16%,Rs. 5.00
67,Birla Corp,BIRLACORPN,"Rs. 4,951 Cr.",Rs. 643,Rs. 808 / 372,19.2,Rs. 576,1.17%,9.97%,7.32%,Rs. 10.0
68,Birlasoft,BSOFT,"Rs. 5,157 Cr.",Rs. 186,Rs. 211 / 46.7,32,Rs. 46.8,1.07%,17.70%,11.30%,Rs. 2.00
69,Bliss GVS,BLISSGVS,"Rs. 1,743 Cr.",Rs. 169,Rs. 182 / 81.2,23,Rs. 69.7,0.30%,17.30%,14.30%,Rs. 1.00
