,Company Name,NSE,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-09,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Dec-19,Nov-08,Nov-09,Mar-08,Sep-13,Sep-08,Sep-09,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Sep-10,Sep-11,Sep-12,Mar-04,Jun-16,Jun-17,Jun-18,Jun-19,Jun-20,Oct-09,Oct-10,Oct-11,Oct-12,Oct-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Dec-06
0,3M India,3MINDIA,-44,53,-55,3,6,0,54,257,373,45,-319,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aarti Ind,AARTIIND,,5,-4,1,1,3,14,-2,-3,2,771,-564,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AAVAS Financier,AAVAS,,,,,,,,224,34,90,-199,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB Capital,ABCAPITAL,,-4,0,0,0,0,5,-2,-1,-1,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ABB India,ABB,-295,,,,,,,,,,,,,176,55,-323,-179,240,-91,347,615,302,-17,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Abbott India,ABBOTINDIA,,,,,,-31,-30,91,62,-165,99,8,,,3,38,1,,,,,,,,146,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ACC,ACC,241,,,,,,,,,,,,,-692,502,545,205,-636,-942,-168,421,749,310,1546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Adani Enterpris,ADANIENT,,-97,-809,1,122,-71,33,-105,181,13,-132,270,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Adani Ports,ADANIPORTS,,-58,-139,149,341,-462,351,257,-151,-64,3367,558,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Adani Power,ADANIPOWER,,533,-305,-125,-247,2,-2,-37,10,-52,4,3,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Adani Trans,ADANITRANS,,,,,,0,0,2,0,506,-477,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Aditya Birla F,ABFRL,,0,0,0,25,-14,-4,-8,30,23,-15,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Advanced Enzyme,ADVENZYMES,,,9,-7,-2,0,-1,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aegis Logistics,AEGISCHEM,,-5,44,2,-11,-35,27,-20,2,3,-8,62,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AFL,ARVINDFASN,,,,,,,,0,0,8,-7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AGL,ADANIGAS,,,,,,,,-118,5,68,70,-71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AIA Engineering,AIAENG,,-92,-41,-6,130,-126,41,-89,-12,13,-10,18,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ajanta Pharma,AJANTPHARM,,-2,-3,0,11,-6,16,9,-1,18,-6,51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Akzo Nobel,AKZOINDIA,,45,16,38,10,-17,-16,-6,-24,50,-34,222,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Alembic Pharma,APLLTD,,,1,24,-21,1,-1,280,-280,9,135,-116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Alkem Lab,ALKEM,,-66,99,-108,21,-12,8,-17,13,-15,156,-141,428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Alkyl Amines,ALKYLAMINE,,-2,-2,4,0,7,-6,-2,-3,2,17,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Allcargo,ALLCARGO,18,,,-7,6,0,10,-4,-2,0,-4,26,,-12,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Alok Industries,ALOKINDS,,396,-565,433,,,-636,-75,54,-41,-16,69,-1266,,,,,,,,,,,,,,987,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Amara Raja Batt,AMARAJABAT,,-8,-17,184,181,-117,26,4,22,-52,1,-18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Amber Enterpris,AMBER,,,,,,,-5,0,10,91,-69,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
