,Company Name,NSE,Sep-17,Dec-17,Mar-18,Jun-18,Sep-18,Dec-18,Mar-19,Jun-19,Sep-19,Dec-19,Mar-20,Jun-20,Sep-20,Dec-12,Jun-13,Sep-13,Dec-13
0,3M India,3MINDIA,60,92,93,100,64,101,58,85,92,68,-26,-40,,,,,
1,Aarti Ind,AARTIIND,79,90,85,89,123,133,124,137,142,137,107,81,,,,,
2,AAVAS Financier,AAVAS,,26,20,30,35,56,54,45,76,68,60,50,66,,,,
3,AB Capital,ABCAPITAL,,29,-10,-17,46,-45,7,-46,47,-22,52,-1,14,,,,
4,ABB India,ABB,,172,102,102,108,198,116,70,79,39,65,16,81,,,,
5,Abbott India,ABBOTINDIA,138,115,100,82,138,117,113,117,178,187,111,180,,,,,
6,ACC,ACC,,205,245,326,206,730,338,451,300,269,320,268,363,,,,
7,Adani Enterpris,ADANIENT,,129,61,-7,-25,188,331,469,103,208,-81,-81,206,,,,
8,Adani Ports,ADANIPORTS,,526,701,359,688,916,674,489,486,459,500,287,696,,,,
9,Adani Power,ADANIPOWER,,792,-556,-40,-1,-121,-63,-1118,-77,-67,-79,-49,-40,,,,
10,Adani Trans,ADANITRANS,,-32,24,31,23,-7,-5,2,-9,-9,22,4,-4,,,,
11,Aditya Birla F,ABFRL,-10,35,113,6,43,70,203,22,7,-33,-140,-400,,,,,
12,Advanced Enzyme,ADVENZYMES,5,10,15,11,9,6,9,13,11,18,16,15,,,,,
13,Aegis Logistics,AEGISCHEM,,23,23,17,30,30,12,42,-59,8,34,-4,27,,,,
14,AFL,ARVINDFASN,,,16,8,19,14,21,1,-1,-4,0,-18,,,,,
15,AGL,ADANIGAS,,37,43,55,52,46,76,79,120,114,122,46,136,,,,
16,AIA Engineering,AIAENG,,90,215,105,109,103,98,83,226,133,390,126,143,,,,
17,Ajanta Pharma,AJANTPHARM,,165,78,151,104,95,41,124,121,108,89,116,225,,,,
18,Akzo Nobel,AKZOINDIA,39,83,238,44,37,60,70,57,49,77,54,-20,,,,,
19,Alembic Pharma,APLLTD,,105,144,114,251,139,108,155,269,231,314,319,348,,,,
20,Alkem Lab,ALKEM,331,213,60,129,238,241,191,211,434,349,271,426,,,,,
21,Alkyl Amines,ALKYLAMINE,13,15,23,18,26,22,18,35,54,77,49,53,,,,,
22,Allcargo,ALLCARGO,43,9,-54,17,58,97,48,28,16,160,16,95,,,,,
23,Alok Industries,ALOKINDS,-5507,-4749,-1321,-1198,-1367,-1259,6106,-67,-153,-189,1633,-10193,,,,,
24,Amara Raja Batt,AMARAJABAT,,134,110,113,120,131,119,141,219,164,137,63,201,,,,
25,Amber Enterpris,AMBER,2,0,34,29,-2,4,62,49,5,12,53,-19,,,,,
26,Ambuja Cements,AMBUJACEM,,338,272,499,179,537,427,412,235,455,399,453,441,,,,
27,APL Apollo,APLAPOLLO,,19,24,27,49,3,47,21,27,42,25,1,43,,,,
28,Apollo Hospital,APOLLOHOSP,71,67,60,60,79,87,77,79,91,95,206,-149,,,,,
29,Apollo Tyres,APOLLOTYRE,,204,224,217,147,123,105,150,100,131,128,-54,216,,,,
30,Ashok Leyland,ASHOKLEY,334,485,743,422,528,381,653,230,39,28,-57,-389,,,,,
31,Ashoka Buildcon,ASHOKA,28,47,105,64,62,62,98,65,73,86,164,69,,,,,
32,Asian Paints,ASIANPAINT,,529,492,542,481,632,478,652,791,759,452,252,793,,,,
33,Aster DM Health,ASTERDM,-18,-22,-24,-13,-11,-3,74,-17,-4,82,0,-28,,,,,
34,Astral Poly Tec,ASTRAL,27,31,44,25,30,40,47,34,70,58,39,16,,,,,
35,AstraZeneca,ASTRAZEN,,-10,3,6,9,29,10,22,14,27,10,19,26,,,,
36,Atul,ATUL,,66,100,84,119,117,109,130,208,160,142,117,170,,,,
37,AU Small Financ,AUBANK,,79,83,77,91,95,118,190,172,190,122,201,322,,,,
38,Aurobindo Pharm,AUROPHARMA,753,444,308,225,381,464,460,330,398,419,725,715,,,,,
39,Avanti Feeds,AVANTIFEED,103,94,75,79,33,56,56,80,105,31,69,86,,,,,
40,Avenue Supermar,DMART,,252,167,251,226,257,203,335,333,394,287,50,211,,,,
41,Axis Bank,AXISBANK,,726,-2189,701,790,1681,-112,1370,-112,1757,-1388,1112,1683,,,,
42,Bajaj Auto,BAJAJ-AUTO,,952,1080,1115,1152,1102,1306,1126,1402,1262,1310,528,1138,,,,
43,Bajaj Consumer,BAJAJCON,,55,55,54,52,60,61,59,57,50,25,54,57,,,,
44,Bajaj Electric,BAJAJELEC,,37,7,41,34,64,29,17,-33,15,0,-27,54,,,,
45,Bajaj Finance,BAJFINANCE,,692,743,834,920,1023,1114,1125,1377,1488,892,870,877,,,,
46,Bajaj Finserv,BAJAJFINSV,,11,11,6,292,8,2,0,345,3,318,1,1,,,,
47,Bajaj Holdings,BAJAJHLDNG,,55,91,58,646,61,24,23,667,31,1106,43,71,,,,
48,Balkrishna Ind,BALKRISIND,203,190,194,230,222,145,185,176,291,221,257,122,,,,,
49,Balmer Lawrie,BALMLAWRIE,26,41,88,39,34,27,88,28,38,36,75,-6,,,,,
50,Balrampur Chini,BALRAMCHIN,,61,-43,74,91,120,286,107,98,70,235,135,75,,,,
51,Bandhan Bank,BANDHANBNK,,300,388,482,488,331,651,804,972,731,517,550,920,,,,
52,Bank of Baroda,BANKBARODA,,112,-3102,528,425,471,-991,710,737,-1407,507,-864,1679,,,,
53,Bank of India,BANKINDIA,,-2341,-3969,95,-1156,-4738,252,243,266,106,-3571,844,526,,,,
54,Bank of Mah,MAHABANK,,-597,-114,-1119,27,-3764,72,81,115,135,58,101,130,,,,
55,BASF,BASF,,7,66,24,9,-38,86,8,2,-32,40,-29,411,,,,
56,Bata India,BATAINDIA,43,68,52,83,56,103,88,101,71,117,38,-101,,,,,
57,Bayer CropScien,BAYERCROP,191,11,-13,147,167,63,-57,135,170,138,32,252,,,,,
58,BEML,BEML,10,17,188,-160,17,45,162,-97,-26,5,186,-133,,,,,
59,Berger Paints,BERGEPAINT,,111,110,129,101,119,86,164,174,166,195,50,193,,,,
60,Bharat Dynamics,BDL,84,6,337,82,28,188,124,66,106,53,310,-78,,,,,
61,Bharat Elec,BEL,412,303,559,180,571,508,669,205,339,215,1035,54,,,,,
62,Bharat Forge,BHARATFORG,204,228,100,234,227,310,300,174,245,128,-73,-56,,,,,
63,Bharti Airtel,BHARTIARTL,,64,-760,-1462,-569,225,-37,-1304,-24514,-3388,-6883,-16462,-846,,,,
64,Bharti Infratel,INFRATEL,,317,335,1518,403,469,389,448,478,414,406,823,446,,,,
65,BHEL,BHEL,115,153,457,156,185,192,676,-216,119,159,-1534,-897,,,,,
66,Biocon,BIOCON,,44,72,230,120,73,70,112,106,121,102,85,95,,,,
67,Birla Corp,BIRLACORPN,,-25,107,42,2,7,87,102,68,54,91,28,84,,,,
68,Birlasoft,BSOFT,,49,64,59,55,26,28,30,35,31,44,41,45,,,,
69,Bliss GVS,BLISSGVS,,10,20,27,31,12,5,24,28,24,16,17,19,,,,
70,Blue Dart,BLUEDART,,45,34,22,21,31,13,5,14,-33,-24,-128,41,,,,
71,Blue Star,BLUESTARCO,,25,26,86,14,-20,41,74,13,1,33,-31,8,,,,
72,Bombay Burmah,BBTC,-11,-1,-12,-6,-9,-12,7,-9,-17,28,-18,38,,,,,
73,Bombay Dyeing,BOMDYEING,,3,11,-94,230,-159,1253,28,90,163,48,-129,-91,,,,
74,Bosch,BOSCHLTD,353,281,434,431,420,335,412,280,98,190,81,-120,,,,,
75,BPCL,BPCL,,2144,2689,2293,1219,495,3125,1075,1708,1261,-1361,2076,2248,,,,
76,Brigade Ent,BRIGADE,42,60,43,67,54,48,65,64,75,81,41,-3,,,,,
77,Britannia,BRITANNIA,,249,245,246,284,303,290,250,493,360,381,516,462,,,,
78,Cadila Health,CADILAHC,,306,243,310,666,363,262,79,554,282,619,398,473,,,,
79,Can Fin Homes,CANFINHOME,,66,74,73,82,75,66,81,98,107,91,93,128,,,,
80,Canara Bank,CANBK,,126,-4860,281,300,318,-552,329,365,330,-3259,406,444,,,,
81,Caplin Labs,CAPLIPOINT,,24,22,41,30,37,40,60,40,48,50,42,41,,,,
82,Capri Global,CGCL,19,29,12,27,26,33,42,32,34,40,29,35,,,,,
83,Carborundum,CARBORUNIV,,38,53,39,43,35,49,45,44,40,62,10,50,,,,
84,CARE Ratings,CARERATING,,37,40,26,46,28,35,13,37,16,14,10,38,,,,
85,Castrol,CASTROLIND,,197,182,164,150,212,185,183,188,271,125,65,205,,,,
86,CCL Products,CCL,,28,23,24,28,24,49,82,24,36,96,17,20,,,,
87,Ceat,CEATLTD,,91,85,78,75,58,78,87,49,62,56,-26,170,,,,
88,Central Bank,CENTRALBK,-750,-1664,-2114,-1522,-924,-718,-2477,118,134,155,-1529,135,,,,,
89,Century,CENTURYTEX,,90,109,163,141,86,131,77,202,57,114,-27,0,,,,
90,CenturyPlyboard,CENTURYPLY,40,47,36,45,38,41,34,48,52,19,39,-8,,,,,
91,Cera Sanitary,CERA,27,23,31,21,28,28,38,19,30,28,38,3,,,,,
92,CESC,CESC,247,153,283,184,271,173,309,217,275,176,250,134,,,,,
93,CG Consumer,CROMPTON,,70,103,104,77,80,142,123,111,161,100,74,137,,,,
94,Chalet Hotels,CHALET,,,,-22,-17,15,14,14,10,33,24,-32,,,,,
95,Chambal Fert,CHAMBLFERT,,149,50,155,145,153,92,236,375,409,204,314,416,,,,
96,Chennai Petro,CHENNPETRO,,386,178,156,27,-367,-29,-233,-213,6,-1638,272,291,,,,
97,Cholamandalam,CHOLAFIN,,219,285,285,305,304,292,314,307,389,43,431,432,,,,
98,Cholamandalam,CHOLAHLDNG,,1,34,2,28,2,34,3,17,38,25,-3,-3,,,,
99,Cipla,CIPLA,566,419,225,391,568,295,634,694,737,282,605,610,,,,,
100,City Union Bank,CUB,,155,152,162,168,178,175,186,194,192,-95,154,158,,,,
101,Coal India,COALINDIA,119,121,9021,68,612,5474,4316,83,107,459,10632,12,,,,,
102,Cochin Shipyard,COCHINSHIP,100,114,92,106,148,130,98,120,208,171,139,43,,,,,
103,COFORGE LTD.,COFORGE,,40,36,136,53,47,63,112,58,135,117,108,45,,,,
104,Colgate,COLPAL,,171,189,190,196,192,198,169,244,199,204,198,274,,,,
105,Container Corp,CONCOR,,277,292,252,336,275,352,228,-322,175,294,62,188,,,,
106,Coromandel Int,COROMANDEL,,180,85,88,366,153,107,62,503,263,231,248,582,,,,
107,CreditAccess Gr,CREDITACC,61,64,72,72,73,100,76,96,101,108,23,64,,,,,
108,CRISIL,CRISIL,,64,63,55,65,94,51,46,115,54,81,69,80,,,,
109,Cummins,CUMMINSIND,,172,161,183,212,187,141,142,183,186,118,53,146,,,,
110,Cyient,CYIENT,,144,100,79,152,74,136,68,88,92,-1,91,65,,,,
111,Dabur India,DABUR,,265,354,231,307,312,414,258,326,330,257,289,393,,,,
112,Dalmia Bharat,DALBHARAT,,20,16,14,8,38,40,7,48,8,72,6,5,,,,
113,DB Corp,DBCORP,,78,57,98,46,76,54,94,76,82,24,-48,29,,,,
114,DCB Bank,DCBBANK,,57,64,70,73,86,96,81,91,97,69,79,82,,,,
115,DCM Shriram,DCMSHRIRAM,,221,62,219,175,224,288,214,125,191,213,62,115,,,,
116,Deepak Fert,DEEPAKFERT,,29,54,8,9,1,-10,-7,7,25,5,89,37,,,,
