,Title,NSE,Strength,Weakness,Oppurtunity,Threat
0,3M India,3MINDIA,"['Company with No Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining Revenue every quarter for the past 4 quarters', 'Declining profits every quarter for the past 3 quarters', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'RSI indicating price strength']","['Profit to Loss Companies', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Stocks with high PE (PE > 40)']"
1,Aarti Ind,AARTIIND,"['Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'FII / FPI or Institutions increasing their shareholding', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Decline in Net Profit with falling Profit Margin (QoQ)', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Declining profits every quarter for the past 3 quarters', 'Declining Revenue every quarter for the past 2 quarters', 'Declining Net Cash Flow : Companies not able to generate net cash', 'Fall in Quarterly Revenue and Net Profit (YoY)', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']","['Brokers upgraded recommendation or target price in the past three months', 'Results Screener: Stocks with upcoming results which are seeing positive shifts in share price', 'Positive Breakout First Resistance ( LTP > R1)', 'RSI indicating price strength', 'High Volume, High Gain', 'Insiders bought stocks']","['Companies where promoters have increased their pledged stocks', 'Degrowth in Revenue, Profits and Operating Profit Margin in recent results (QoQ)', 'Insiders sold stocks']"
2,AAVAS Financier,AAVAS,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using Shareholders fund - Return on equity (ROE) improving since last 2 year', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Companies with growing costs YoY for long term projects', 'Promoter holding decreased by more than -2% QoQ', 'Bearish Engulfing (Bearish Reversal)', 'MFs decreased their shareholding last quarter', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Companies with High Debt', 'Companies with Increasing Debt', 'Promoter decreasing their shareholding', 'Low Piotroski Score : Companies with weak financials', 'Recent Results: Declining Operating Profit Margin and Net Profits (YoY)']",None,"['Stocks with high PE (PE > 40)', 'Increase in Provisions in Recent Results']"
3,AB Capital,ABCAPITAL,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'Strong Momentum: Price above short, medium and long term moving averages']","['Companies with growing costs YoY for long term projects', 'Red Flag: High Interest Payments Compared to Earnings', 'Companies with High Debt', 'Promoter decreasing their shareholding']","['Brokers upgraded recommendation or target price in the past three months', 'Positive Breakout Second Resistance  ( LTP > R2)', 'Decrease in Provision in recent results', 'RSI indicating price strength', 'High Volume, High Gain']",None
4,ABB India,ABB,"['Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Company with Low Debt', 'Company with Zero Promoter Pledge']","['MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit', 'Decline in Quarterly Net Profit with falling Profit Margin (YoY)', 'Major fall in TTM Net Profit', 'Fall in Quarterly Revenue and Net Profit (YoY)']","['Positive Breakout Third Resistance ( LTP > R3)', 'High Volume, High Gain']",['Stocks with high PE (PE > 40)']
5,Abbott India,ABBOTINDIA,"['High Piotroski Score - Companies with strong financials', 'Company with high TTM EPS Growth', 'Strong QoQ EPS Growth in recent results', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with No Debt', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Annual Net Profits improving for last 2 years', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding']","['Companies with growing costs YoY for long term projects', 'MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Declining Net Cash Flow : Companies not able to generate net cash']",['Negative to Positive growth in Sales and Profit with Strong Price momentum'],['Stocks with high PE (PE > 40)']
6,ACC,ACC,"['Rising Net Cash Flow and Cash from Operating activity', 'Effectively using its capital to generate profit - RoCE improving in last 2 years', 'Company with No Debt', 'Book Value per share Improving for last 2 years', 'Company with Zero Promoter Pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Strong Momentum: Price above short, medium and long term moving averages']","['Degrowth in Revenue and Profit', 'Major fall in TTM Net Profit', 'Hanging Man (Bearish Reversal)']","['Brokers upgraded recommendation or target price in the past three months', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'RSI indicating price strength']",None
7,Adani Enterpris,ADANIENT,"['Efficient in managing Assets to generate Profits - ROA improving since last 2 year', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Growth in Quarterly Net Profit with increasing Profit Margin (YoY)', 'Company with decreasing Promoter pledge', 'FII / FPI or Institutions increasing their shareholding', 'Near 52 Week High', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Degrowth in Revenue and Profit']","['Turnaround companies- loss to profit QoQ', 'Negative to Positive growth in Sales and Profit with Strong Price momentum', 'Highest Recovery from 52 Week Low', 'RSI indicating price strength']","['Red Flags: Firms linked to ongoing regulatory investigations/legal cases', 'Stocks with high PE (PE > 40)']"
8,Adani Ports,ADANIPORTS,"['MACD Crossover Above Signal Line', 'Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Strong cash generating ability from core business - Improving Cash Flow from operation for last 2 years', 'Book Value per share Improving for last 2 years', 'Near 52 Week High', 'Companies with rising net profit margins - quarterly as well as TTM basis', 'Strong Momentum: Price above short, medium and long term moving averages']","['MFs decreased their shareholding last quarter', 'Inefficient use of capital to generate profits - RoCE declining in the last 2 years', 'Inefficient use of shareholder funds - ROE declining in the last 2 years', 'Inefficient use of assets to generate profits - ROA declining in the last 2 years', 'Degrowth in Revenue and Profit', 'Declining Net Cash Flow : Companies not able to generate net cash']",['RSI indicating price strength'],['Companies where promoters have increased their pledged stocks']
9,Adani Power,ADANIPOWER,"['Growth in Net Profit with increasing Profit Margin (QoQ)', 'Increasing profits every quarter for the past 2 quarters', 'Company with decreasing Promoter pledge', 'Recent Results : Growth in Operating Profit with increase in operating margins (YoY)']","['Companies with growing costs YoY for long term projects', 'Red Flag: High Interest Payments Compared to Earnings', 'MFs decreased their shareholding last quarter', 'Book Value Per Share deteriorating for last 2 years']","['Positive Breakout Third Resistance ( LTP > R3)', 'Turnaround companies- loss to profit QoQ', 'Stock with Low PE (PE < = 10)', 'RSI indicating price strength', 'High Volume, High Gain']",['Increasing Trend in Non-Core Income']
