Title,NSE
3M India,3MINDIA
Aarti Ind,AARTIIND
AAVAS Financier,AAVAS
AB Capital,ABCAPITAL
ABB India,ABB
Abbott India,ABBOTINDIA
ACC,ACC
Adani Enterpris,ADANIENT
Adani Ports,ADANIPORTS
Adani Power,ADANIPOWER
Adani Trans,ADANITRANS
Aditya Birla F,ABFRL
Advanced Enzyme,ADVENZYMES
Aegis Logistics,AEGISCHEM
AFL,ARVINDFASN
AGL,ADANIGAS
AIA Engineering,AIAENG
Ajanta Pharma,AJANTPHARM
Akzo Nobel,AKZOINDIA
Alembic Pharma,APLLTD
Alkem Lab,ALKEM
Alkyl Amines,ALKYLAMINE
Allcargo,ALLCARGO
Alok Industries,ALOKINDS
Amara Raja Batt,AMARAJABAT
Amber Enterpris,AMBER
Ambuja Cements,AMBUJACEM
APL Apollo,APLAPOLLO
Apollo Hospital,APOLLOHOSP
Apollo Tyres,APOLLOTYRE
Ashok Leyland,ASHOKLEY
Ashoka Buildcon,ASHOKA
Asian Paints,ASIANPAINT
Aster DM Health,ASTERDM
Astral Poly Tec,ASTRAL
AstraZeneca,ASTRAZEN
Atul,ATUL
AU Small Financ,AUBANK
Aurobindo Pharm,AUROPHARMA
Avanti Feeds,AVANTIFEED
Avenue Supermar,DMART
Axis Bank,AXISBANK
Bajaj Auto,BAJAJ-AUTO
Bajaj Consumer,BAJAJCON
Bajaj Electric,BAJAJELEC
Bajaj Finance,BAJFINANCE
Bajaj Finserv,BAJAJFINSV
Bajaj Holdings,BAJAJHLDNG
Balkrishna Ind,BALKRISIND
Balmer Lawrie,BALMLAWRIE
Balrampur Chini,BALRAMCHIN
Bandhan Bank,BANDHANBNK
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bank of Mah,MAHABANK
BASF,BASF
Bata India,BATAINDIA
Bayer CropScien,BAYERCROP
BEML,BEML
Berger Paints,BERGEPAINT
Bharat Dynamics,BDL
Bharat Elec,BEL
Bharat Forge,BHARATFORG
Bharti Airtel,BHARTIARTL
Bharti Infratel,INFRATEL
BHEL,BHEL
Biocon,BIOCON
Birla Corp,BIRLACORPN
Birlasoft,BSOFT
Bliss GVS,BLISSGVS
Blue Dart,BLUEDART
Blue Star,BLUESTARCO
Bombay Burmah,BBTC
Bombay Dyeing,BOMDYEING
Bosch,BOSCHLTD
BPCL,BPCL
Brigade Ent,BRIGADE
Britannia,BRITANNIA
Cadila Health,CADILAHC
Can Fin Homes,CANFINHOME
Canara Bank,CANBK
Caplin Labs,CAPLIPOINT
Capri Global,CGCL
Carborundum,CARBORUNIV
CARE Ratings,CARERATING
Castrol,CASTROLIND
CCL Products,CCL
Ceat,CEATLTD
Central Bank,CENTRALBK
Century,CENTURYTEX
CenturyPlyboard,CENTURYPLY
Cera Sanitary,CERA
CESC,CESC
CG Consumer,CROMPTON
Chalet Hotels,CHALET
Chambal Fert,CHAMBLFERT
Chennai Petro,CHENNPETRO
Cholamandalam,CHOLAFIN
Cholamandalam,CHOLAHLDNG
Cipla,CIPLA
City Union Bank,CUB
Coal India,COALINDIA
Cochin Shipyard,COCHINSHIP
COFORGE LTD.,COFORGE
Colgate,COLPAL
Container Corp,CONCOR
Coromandel Int,COROMANDEL
CreditAccess Gr,CREDITACC
CRISIL,CRISIL
Cummins,CUMMINSIND
Cyient,CYIENT
Dabur India,DABUR
Dalmia Bharat,DALBHARAT
DB Corp,DBCORP
DCB Bank,DCBBANK
DCM Shriram,DCMSHRIRAM
Deepak Fert,DEEPAKFERT
Deepak Nitrite,DEEPAKNTR
Delta Corp,DELTACORP
Dhanuka Agritec,DHANUKA
Dilip Buildcon,DBL
Dish TV,DISHTV
Dishman Carboge,DCAL
Divis Labs,DIVISLAB
Dixon Technolog,DIXON
DLF,DLF
Dr Lal PathLab,LALPATHLAB
Dr Reddys Labs,DRREDDY
eClerx Services,ECLERX
Edelweiss,EDELWEISS
Eicher Motors,EICHERMOT
EID Parry,EIDPARRY
EIH,EIHOTEL
Emami,EMAMILTD
Endurance Techn,ENDURANCE
EngineersInd,ENGINERSIN
EPL,EPL
Equitas Holding,EQUITAS
Esab India,ESABINDIA
Escorts,ESCORTS
Exide Ind,EXIDEIND
FDC,FDC
Federal Bank,FEDERALBNK
Fine Organics,FINEORG
Finolex Cables,FINCABLES
Finolex Ind,FINPIPE
Firstsource Sol,FSL
Force Motors,FORCEMOT
Fortis Health,FORTIS
Future Consumer,FCONSUMER
Future Retail,FRETAIL
GAIL,GAIL
Galaxy Surfacta,GALAXYSURF
Garden Reach Sh,GRSE
Garware Technic,GARFIBRES
Gateway Distri,GDL
GE Power India,GEPIL
GE Shipping,GESHIP
General Insuran,GICRE
Gillette India,GILLETTE
GlaxoSmithKline,GLAXO
Glenmark,GLENMARK
GMM Pfaudler,GMMPFAUDLR
GMR Infra,GMRINFRA
GNFC,GNFC
Godfrey Phillip,GODFRYPHLP
Godrej Agrovet,GODREJAGRO
Godrej Consumer,GODREJCP
Godrej Ind,GODREJIND
Godrej Prop,GODREJPROP
Granules India,GRANULES
Graphite India,GRAPHITE
Grasim,GRASIM
Greaves Cotton,GREAVESCOT
Grindwell Norto,GRINDWELL
GSFC,GSFC
Guj Alkali,GUJALKALI
Guj Heavy Chem,GHCL
Guj Mineral,GMDCLTD
Guj State Petro,GSPL
Gujarat Fluoro,FLUOROCHEM
Gujarat Gas,GUJGASLTD
Gujarat Pipavav,GPPL
Gulf Oil Lubric,GULFOILLUB
Hathway Cable,HATHWAY
Havells India,HAVELLS
Hawkins Cooker,HAWKINCOOK
HCL Tech,HCLTECH
HDFC,HDFC
HDFC AMC,HDFCAMC
HDFC Bank,HDFCBANK
HDFC Life,HDFCLIFE
HEG,HEG
Heidelberg Cem,HEIDELBERG
Heritage Foods,HERITGFOOD
Hero Motocorp,HEROMOTOCO
HFCL,HFCL
Himadri Special,HSCL
Himatsingka Sei,HIMATSEIDE
Hind Copper,HINDCOPPER
Hind Zinc,HINDZINC
Hindalco,HINDALCO
Hindustan Aeron,HAL
Honeywell Autom,HONAUT
HPCL,HINDPETRO
HUDCO,HUDCO
HUL,HINDUNILVR
ICICI Bank,ICICIBANK
ICICI Lombard,ICICIGI
ICICI Prudentia,ICICIPRULI
ICICI Securitie,ISEC
IDBI Bank,IDBI
IDFC,IDFC
IDFC First Bank,IDFCFIRSTB
IEX,IEX
IFB Industries,IFBIND
IFCI,IFCI
IGL,IGL
IIFL Finance,IIFL
India Cements,INDIACEM
India Tourism D,ITDC
Indiabulls Hsg,IBULHSGFIN
Indiabulls Real,IBREALEST
Indiamart Inter,INDIAMART
Indian Bank,INDIANB
Indian Hotels,INDHOTEL
Indoco Remedies,INDOCO
Indostar Capita,INDOSTAR
IndusInd Bank,INDUSINDBK
Infibeam Avenue,INFIBEAM
Info Edge,NAUKRI
Infosys,INFY
INOX Leisure,INOXLEISUR
