,Company Name,NSE,Dec-08,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,Mar-09,Dec-09,Dec-10,Dec-11,Dec-12,Dec-13,Dec-14,Dec-15,Dec-16,Dec-17,Dec-18,Dec-19,Nov-08,Nov-09,Mar-08,Sep-13,Sep-08,Sep-09,Jun-09,Jun-10,Jun-11,Jun-12,Jun-13,Jun-14,Jun-15,Sep-10,Sep-11,Sep-12,Mar-04,Jun-16,Jun-17,Jun-18,Jun-19,Jun-20,Oct-09,Oct-10,Oct-11,Oct-12,Oct-13,Sep-14,Sep-15,Sep-16,Sep-17,Sep-18,Sep-19,Dec-06
0,3M India,3MINDIA,57,93,99,65,52,43,108,195,241,311,323,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Aarti Ind,AARTIIND,,70,67,87,131,149,188,252,307,316,481,523,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,AAVAS Financier,AAVAS,,,,,,,,33,57,93,176,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AB Capital,ABCAPITAL,,-6,-2,-4,1,-54,-49,0,4,36,-10,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ABB India,ABB,547,,,,,,,,,,,,,355,63,185,137,177,229,300,374,420,511,303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Abbott India,ABBOTINDIA,,,,,,198,229,255,277,401,450,593,,,61,120,145,,,,,,,,63,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ACC,ACC,1213,,,,,,,,,,,,,1607,1120,1325,1061,1096,1168,592,647,915,1507,1359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Adani Enterpris,ADANIENT,,254,269,362,520,-179,407,520,222,197,487,699,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Adani Ports,ADANIPORTS,,701,986,1177,1754,2016,2183,2964,3101,2408,2638,1934,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Adani Power,ADANIPOWER,,171,524,-294,-1952,595,-69,97,-6054,-24,-225,-1341,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Adani Trans,ADANITRANS,,,,,,0,-18,-57,4,-25,42,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Aditya Birla F,ABFRL,,-25,0,1,-69,-188,-228,-110,54,118,321,-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Advanced Enzyme,ADVENZYMES,,11,18,22,21,10,20,21,35,36,35,58,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Aegis Logistics,AEGISCHEM,,39,31,41,40,19,108,54,66,101,89,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,AFL,ARVINDFASN,,,,,,,,0,-4,53,62,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AGL,ADANIGAS,,,,,,,,81,101,165,229,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
